"","year","data","what","model_id","fmodel","qmodel","rmodel","stock"
"102",2008,0.253325,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"103",2009,0.26756325,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"104",2010,0.20791125,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"105",2011,0.13439075,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"106",2012,0.0926876,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"107",2013,0.082630675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"108",2014,0.089989675,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"109",2015,0.09425875,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"110",2016,0.081848,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"111",2017,0.062449725,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"112",2018,0.046591575,"fbar",1,"fmodel1","qmodel1","rmodel1","stk"
"113",1963,153383.888334167,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"114",1964,149884.389657432,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"115",1965,145621.089574484,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"116",1966,121698.384622139,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"117",1967,85178.1874284543,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"118",1968,60130.5379150565,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"119",1969,46061.4668187792,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"120",1970,33348.6481286483,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"121",1971,20625.9130561317,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"122",1972,12357.686232455,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"123",1973,9061.04331283139,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"124",1974,12032.2074054601,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"125",1975,17970.0969492977,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"126",1976,22208.5056875378,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"127",1977,35095.7665615197,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"128",1978,55688.4446858026,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"129",1979,57449.0195465491,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"130",1980,51267.9640289035,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"131",1981,44714.6255459981,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"132",1982,34451.6012636196,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"133",1983,25023.6796340327,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"134",1984,17692.8173630635,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"135",1985,14868.759324234,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"136",1986,14187.4054795053,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"137",1987,13874.0834931752,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"138",1988,14330.088451637,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"139",1989,15782.054268877,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"140",1990,17222.8924020036,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"141",1991,14585.1402511877,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"142",1992,10766.1587170462,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"143",1993,10049.3295562263,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"144",1994,15662.3513616362,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"145",1995,22984.4406666753,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"146",1996,30013.279339645,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"147",1997,36174.8415784305,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"148",1998,41428.5714667911,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"149",1999,47932.5604581397,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"150",2000,58523.2733932183,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"151",2001,67907.39088541,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"152",2002,72067.6183617601,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"153",2003,72648.3489814551,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"154",2004,56632.4859391047,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"155",2005,54445.372136322,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"156",2006,80519.7440490256,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"157",2007,84924.8179011839,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"158",2008,74348.7148295615,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"159",2009,60446.9592118435,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"160",2010,40167.7786130361,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"161",2011,23622.3954553841,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"162",2012,21760.4548801395,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
